id,first_name,last_name,email,mbti,self identified gender,matching gender preferences
100725,Bristol,Castaneda,example100725@hmc.edu,ENTJ,non-binary,"women, non-binary"
100726,Leonel,Sweeney,example100726@mymail.pomona.edu,ISTP,"men, women",women
100727,Zoie,Mitchell,example100727@students.pitzer.edu,ENTP,women,men
100728,Raven,Salazar,example100728@scrippscollege.edu,INTP,men,men
100729,Briar,Barron,example100729@scrippscollege.edu,ESTJ,"men, women","men, non-binary"
100730,Hayden,Frank,example100730@mymail.pomona.edu,ESFP,men,"men, women"
100731,Karsyn,Barton,example100731@hmc.edu,ESTJ,women,"men, women"
100732,Korbin,Cummings,example100732@students.pitzer.edu,ENFJ,men,women
100733,Aleah,Harris,example100733@students.pitzer.edu,ESFP,women,non-binary
100734,Lincoln,Woodward,example100734@students.pitzer.edu,ENTP,men,women
100735,Zachariah,Mullen,example100735@scrippscollege.edu,ISTJ,women,men
100736,Landyn,Byrd,example100736@hmc.edu,ENTJ,men,men
100737,Nora,Dougherty,example100737@students.pitzer.edu,ESTP,women,women
100738,Joseph,Orozco,example100738@mymail.pomona.edu,,women,men
100739,Elina,Pierce,example100739@students.pitzer.edu,ENFJ,men,women
100740,Emmalyn,Jarvis,example100740@students.pitzer.edu,ISTJ,women,men
100741,Kamiyah,Christensen,example100741@hmc.edu,ENTJ,women,men
100742,Abel,Zuniga,example100742@hmc.edu,INFJ,men,women
100743,Frank,Terry,example100743@students.pitzer.edu,INFP,men,women
100744,Amelie,Nixon,example100744@students.claremontmckenna.edu,ESTP,men,women
100745,Jordan,Ingram,example100745@scrippscollege.edu,ISTP,men,women
100746,Nia,Dawson,example100746@hmc.edu,INTP,men,women
100747,Arlo,Villa,example100747@hmc.edu,ENTJ,women,"men, women"
100748,Layton,Oliver,example100748@scrippscollege.edu,ENFP,women,men
100749,Princeton,Casey,example100749@mymail.pomona.edu,ENTP,women,non-binary
100750,Vincenzo,Diaz,example100750@hmc.edu,ENFJ,men,women
100751,Alfred,Thornton,example100751@mymail.pomona.edu,INFP,women,men
100752,Alexandra,Burton,example100752@mymail.pomona.edu,ISFP,women,men
100753,Major,Moss,example100753@students.pitzer.edu,ENTJ,"women, non-binary","men, women"
100754,Adam,Hahn,example100754@scrippscollege.edu,INFP,women,men
100755,Danna,Villegas,example100755@students.pitzer.edu,ENFJ,men,"men, non-binary"
100756,Adrianna,Marsh,example100756@scrippscollege.edu,,men,women
100757,Anders,Osborne,example100757@students.claremontmckenna.edu,ENTJ,non-binary,"women, non-binary"
100758,Rodrigo,Cox,example100758@scrippscollege.edu,ISFJ,men,women
100759,Jesus,Jordan,example100759@students.claremontmckenna.edu,ISTP,men,women
100760,Bentlee,Santos,example100760@hmc.edu,INTJ,"men, women, non-binary","women, non-binary"
100761,Evangeline,Bautista,example100761@mymail.pomona.edu,ESTP,men,"men, women"
100762,Jada,Sellers,example100762@hmc.edu,ESTP,women,men
100763,Paola,Singleton,example100763@students.pitzer.edu,ISFJ,women,"women, non-binary"
100764,Kane,Conway,example100764@mymail.pomona.edu,ISFJ,women,non-binary
100765,Aries,Burns,example100765@students.claremontmckenna.edu,INTP,women,men
100766,Promise,Hicks,example100766@scrippscollege.edu,ESFP,men,women
100767,Jacoby,Jimenez,example100767@students.claremontmckenna.edu,ESTJ,"men, non-binary","men, non-binary"
100768,Kaden,Oliver,example100768@students.claremontmckenna.edu,ISFJ,men,women
100769,Alina,Strickland,example100769@mymail.pomona.edu,ESFJ,non-binary,"men, women, non-binary"
100770,Kassidy,Ford,example100770@scrippscollege.edu,INFP,women,"women, non-binary"
100771,Estella,Gordon,example100771@hmc.edu,INTJ,"men, women, non-binary",men
100772,Felix,Kirk,example100772@students.pitzer.edu,INTP,women,men
100773,Caleb,Nicholson,example100773@hmc.edu,INFJ,men,women
100774,Benson,Crosby,example100774@mymail.pomona.edu,ESTP,non-binary,"men, women, non-binary"
100775,Alexandra,Caldwell,example100775@students.pitzer.edu,ENTP,men,"women, non-binary"
100776,Johan,Lara,example100776@students.pitzer.edu,ISFP,women,men
100777,Eliseo,Burns,example100777@students.pitzer.edu,ENFP,women,men
100778,Zoie,Hickman,example100778@mymail.pomona.edu,ESFJ,"men, non-binary",men
100779,Ahmed,Hunt,example100779@students.claremontmckenna.edu,ISTJ,men,women
100780,Genevieve,Strong,example100780@mymail.pomona.edu,ISFP,women,men
100781,Beckham,Cummings,example100781@students.claremontmckenna.edu,ESTJ,non-binary,"men, women"
100782,Tate,Olson,example100782@scrippscollege.edu,ESTJ,women,men
100783,Nataly,Henson,example100783@mymail.pomona.edu,ISTP,women,women
100784,Sebastian,Hickman,example100784@hmc.edu,ENTP,women,"men, women, non-binary"
100785,Ezra,Duncan,example100785@students.pitzer.edu,ESFJ,women,non-binary
100786,Itzayana,Griffith,example100786@students.pitzer.edu,ISFJ,women,men
100787,Tinsley,Barton,example100787@scrippscollege.edu,INTJ,"women, non-binary",women
100788,Gideon,Cabrera,example100788@hmc.edu,ISFP,men,women
100789,Melina,Dennis,example100789@mymail.pomona.edu,ESFP,men,women
100790,Nadia,Melton,example100790@scrippscollege.edu,ESTJ,non-binary,women
100791,Anya,Galindo,example100791@students.claremontmckenna.edu,ESFJ,women,men
100792,Emma,Nash,example100792@students.pitzer.edu,ENTJ,men,women
100793,Peyton,Bautista,example100793@mymail.pomona.edu,ENFJ,men,women
100794,Harvey,Thomas,example100794@mymail.pomona.edu,INFP,men,"men, women, non-binary"
100795,Elle,Colon,example100795@mymail.pomona.edu,ESFP,women,men
100796,Kaden,Stone,example100796@scrippscollege.edu,INFJ,non-binary,non-binary
100797,Winnie,Jordan,example100797@students.pitzer.edu,ESFP,men,"men, non-binary"
100798,Belle,Hicks,example100798@mymail.pomona.edu,ISFP,women,"men, women"
100799,Alaiya,Browning,example100799@scrippscollege.edu,ENTP,women,men
100800,Aviana,McKinney,example100800@students.claremontmckenna.edu,INFJ,men,"men, non-binary"
100801,Jayla,Bowers,example100801@hmc.edu,ISTJ,non-binary,non-binary
100802,Kendra,Jacobs,example100802@hmc.edu,ENFP,men,women
100803,Jayla,Grimes,example100803@students.claremontmckenna.edu,ISTP,men,women
100804,Royce,Paul,example100804@students.claremontmckenna.edu,ISFJ,women,men
100805,Grey,Jarvis,example100805@hmc.edu,ENFP,men,women
100806,Anderson,Cole,example100806@hmc.edu,ENFP,women,men
100807,Leighton,Rodriguez,example100807@scrippscollege.edu,ESTP,men,women
100808,Kairi,Gates,example100808@hmc.edu,ISFJ,"men, women",men
100809,Cyrus,Garrison,example100809@mymail.pomona.edu,ISFJ,men,women
100810,Ainsley,Lucas,example100810@mymail.pomona.edu,ENTP,men,women
100811,Kamila,Luna,example100811@hmc.edu,ENTJ,men,"women, non-binary"
100812,Grey,Ahmed,example100812@students.claremontmckenna.edu,ENFJ,women,non-binary
100813,Elian,Levy,example100813@hmc.edu,ESTP,men,women
100814,King,Vasquez,example100814@mymail.pomona.edu,INFJ,men,women
100815,Cora,Berg,example100815@hmc.edu,INFJ,non-binary,non-binary
100816,Caiden,Fischer,example100816@mymail.pomona.edu,ISTJ,women,"men, women, non-binary"
100817,Romeo,Lee,example100817@mymail.pomona.edu,ESFP,men,women
100818,Issac,Stephenson,example100818@students.pitzer.edu,ISTJ,men,"women, non-binary"
100819,Barbara,Santiago,example100819@students.claremontmckenna.edu,ESFP,"men, women, non-binary",men
100820,Viviana,Petersen,example100820@mymail.pomona.edu,ISFJ,men,women
100821,Abigail,Glover,example100821@mymail.pomona.edu,ISTJ,"men, women","men, women"
100822,Kamryn,McKenzie,example100822@students.pitzer.edu,ESFP,women,men
100823,Nathan,Montgomery,example100823@mymail.pomona.edu,ENTJ,women,men
100824,Eden,Wiggins,example100824@hmc.edu,,women,men
100825,Bristol,Benjamin,example100825@scrippscollege.edu,INFJ,women,women
100826,Felix,Bishop,example100826@students.pitzer.edu,ESTP,men,"women, non-binary"
100827,Karsyn,Gonzalez,example100827@students.pitzer.edu,ENFP,women,"women, non-binary"
100828,Mckenzie,Cano,example100828@hmc.edu,ISFJ,men,women
100829,Estrella,Byrd,example100829@students.claremontmckenna.edu,ISTJ,women,men
100830,Madden,Haynes,example100830@mymail.pomona.edu,INFP,women,men
100831,Ellis,Carter,example100831@students.pitzer.edu,ESFJ,men,non-binary
100832,Lucille,Wiggins,example100832@hmc.edu,ESTJ,men,women
100833,Clyde,Lee,example100833@scrippscollege.edu,ENFP,women,men
100834,Langston,Horne,example100834@mymail.pomona.edu,ISFP,men,women
100835,Rosalyn,Acevedo,example100835@students.pitzer.edu,ESFJ,men,women
100836,Jacoby,Colon,example100836@students.pitzer.edu,ENFP,men,"men, women"
100837,Collins,Middleton,example100837@students.pitzer.edu,ENFP,women,men
100838,Whitley,Cameron,example100838@hmc.edu,ENTP,women,men
100839,Bria,Case,example100839@students.claremontmckenna.edu,ENTJ,women,men
100840,Ty,Knox,example100840@hmc.edu,ESTJ,non-binary,non-binary
100841,Jack,Sutton,example100841@students.claremontmckenna.edu,ESTJ,women,men
100842,Aryan,Bailey,example100842@students.claremontmckenna.edu,ESTP,men,women
100843,Jakobe,Koch,example100843@scrippscollege.edu,,men,women
100844,Jayla,Wiggins,example100844@hmc.edu,ISFP,women,men
100845,Nixon,Eaton,example100845@mymail.pomona.edu,ENFJ,women,men
100846,Lawson,Finley,example100846@scrippscollege.edu,ENFJ,non-binary,"men, women, non-binary"
100847,Bristol,Casey,example100847@mymail.pomona.edu,ISFP,men,women
100848,Nia,Mendez,example100848@scrippscollege.edu,ESTJ,men,women
100849,Cleo,Mejia,example100849@hmc.edu,ISTJ,women,women
100850,Talon,Rocha,example100850@scrippscollege.edu,ESTP,women,"men, non-binary"
100851,Khalil,Holloway,example100851@students.claremontmckenna.edu,ISTJ,women,men
100852,Max,McKinney,example100852@students.claremontmckenna.edu,,non-binary,non-binary
100853,Scarlett,Wilkins,example100853@mymail.pomona.edu,ENFP,women,men
100854,Shay,Moreno,example100854@mymail.pomona.edu,,women,men
100855,Ellis,Gates,example100855@mymail.pomona.edu,ISFP,men,women
100856,Ainsley,Luna,example100856@students.pitzer.edu,ISTJ,women,"women, non-binary"
100857,Andres,Harris,example100857@students.pitzer.edu,INFJ,men,women
100858,Karen,Moss,example100858@students.pitzer.edu,ISTJ,non-binary,"men, women, non-binary"
100859,Emerson,Morales,example100859@mymail.pomona.edu,ENFJ,non-binary,women
100860,Charley,Chase,example100860@students.pitzer.edu,ENFJ,men,women
100861,Ezra,Galindo,example100861@hmc.edu,ENFP,men,women
100862,Kabir,Bradshaw,example100862@scrippscollege.edu,ISTP,women,men
100863,Wren,Blackburn,example100863@hmc.edu,ESFP,women,men
100864,Scarlett,Townsend,example100864@scrippscollege.edu,ISFJ,"men, women, non-binary","women, non-binary"
100865,Tyler,Stanley,example100865@students.pitzer.edu,ENFP,women,men
100866,Fatima,Donaldson,example100866@students.pitzer.edu,INFJ,men,women
100867,Elena,Francis,example100867@hmc.edu,ENTJ,women,men
100868,Caden,Fletcher,example100868@scrippscollege.edu,ESTP,women,men
100869,Addilyn,Zavala,example100869@scrippscollege.edu,INTJ,women,men
100870,Azariah,Stuart,example100870@hmc.edu,ESTP,women,men
100871,Yahir,Waller,example100871@scrippscollege.edu,ISFJ,men,women
100872,Sylvia,Cline,example100872@mymail.pomona.edu,,women,men
100873,Flora,Chan,example100873@hmc.edu,ISTJ,women,"women, non-binary"
100874,Cadence,Correa,example100874@mymail.pomona.edu,ISFJ,"men, women",non-binary
100875,Jazmin,Cohen,example100875@hmc.edu,ISTP,men,women
100876,Dane,Nunez,example100876@scrippscollege.edu,ESTJ,men,women
100877,Keenan,McKenzie,example100877@students.pitzer.edu,ISFP,men,women
100878,Aubrielle,Parker,example100878@mymail.pomona.edu,ESTP,"men, women, non-binary",men
100879,Amanda,King,example100879@mymail.pomona.edu,ISTJ,women,men
100880,Jimmy,Sutton,example100880@students.claremontmckenna.edu,INFJ,men,women
100881,Adelina,Dudley,example100881@scrippscollege.edu,ESTP,men,women
100882,Jones,Bridges,example100882@scrippscollege.edu,INTP,men,"men, non-binary"
100883,Nathanael,Hart,example100883@scrippscollege.edu,ESTP,women,men
100884,Harlem,Jennings,example100884@mymail.pomona.edu,,"women, non-binary","men, women, non-binary"
100885,Myles,Cisneros,example100885@students.claremontmckenna.edu,ISFP,non-binary,men
100886,Cora,Lara,example100886@students.claremontmckenna.edu,ESFJ,women,men
100887,Mazikee,Travis,example100887@students.claremontmckenna.edu,,non-binary,"men, women"
100888,Rosemary,Eaton,example100888@students.claremontmckenna.edu,ISTP,men,women
100889,Demetrius,Mack,example100889@mymail.pomona.edu,INFJ,men,women
100890,Chanel,Fry,example100890@hmc.edu,ESTP,"women, non-binary","women, non-binary"
100891,Ellis,Cantrell,example100891@students.pitzer.edu,ESFP,women,non-binary
100892,Zayden,Mann,example100892@students.pitzer.edu,INFJ,men,women
100893,Fallon,Richard,example100893@scrippscollege.edu,ESTJ,non-binary,"men, women, non-binary"
100894,Demetrius,Hull,example100894@students.claremontmckenna.edu,INFP,men,"men, women"
100895,Finley,Henderson,example100895@mymail.pomona.edu,ENTJ,men,women
100896,Londyn,Morrow,example100896@scrippscollege.edu,ENTP,"men, women, non-binary",women
100897,Melani,Johnston,example100897@hmc.edu,ENFP,men,women
100898,Thiago,Murphy,example100898@students.pitzer.edu,ISFP,women,"women, non-binary"
100899,Robin,Townsend,example100899@hmc.edu,INTJ,men,"men, women, non-binary"
100900,Madelynn,Fry,example100900@mymail.pomona.edu,ISFP,non-binary,men
100901,Ariella,Becker,example100901@students.pitzer.edu,ENTJ,"men, women","men, women"
100902,Ana,Dejesus,example100902@hmc.edu,ENTP,men,women
100903,Layton,Thomas,example100903@mymail.pomona.edu,ENFJ,women,men
100904,Kaysen,Whitney,example100904@students.claremontmckenna.edu,ENFJ,women,men
100905,Khaleesi,Cuevas,example100905@hmc.edu,ESTJ,men,"men, women"
100906,Michaela,Velasquez,example100906@students.claremontmckenna.edu,ISFP,"men, women, non-binary","women, non-binary"
100907,Harris,Singh,example100907@hmc.edu,INTJ,men,women
100908,Khalid,Jennings,example100908@students.claremontmckenna.edu,INTJ,"men, non-binary","men, women"
100909,Amanda,Nixon,example100909@hmc.edu,ESTP,women,men
100910,Wesley,Jefferson,example100910@scrippscollege.edu,ESFJ,women,men
100911,Briar,Curry,example100911@students.pitzer.edu,ENFJ,men,non-binary
100912,Brennan,Rojas,example100912@hmc.edu,ESTJ,men,women
100913,Robin,Burns,example100913@students.pitzer.edu,ESTP,men,women
100914,Nalani,Ahmed,example100914@scrippscollege.edu,ESFJ,women,men
100915,Saylor,Conner,example100915@students.pitzer.edu,ENFJ,men,"men, women, non-binary"
100916,Addilynn,Hoffman,example100916@mymail.pomona.edu,ESFJ,women,men
100917,Clay,Schwartz,example100917@mymail.pomona.edu,INTP,non-binary,"men, women"
100918,Ezra,Brady,example100918@students.claremontmckenna.edu,ESTP,women,men
100919,Mariam,Crosby,example100919@scrippscollege.edu,INTP,women,"men, women, non-binary"
100920,Edison,Hunt,example100920@hmc.edu,ENFJ,women,"men, women"
100921,Emely,Glover,example100921@scrippscollege.edu,ENTP,men,women
100922,Brinley,Diaz,example100922@hmc.edu,ESTJ,men,women
100923,Leslie,Castaneda,example100923@scrippscollege.edu,ENTJ,women,men
100924,Warren,Donaldson,example100924@mymail.pomona.edu,ESTP,women,"men, women"
100925,Elisha,Russo,example100925@mymail.pomona.edu,ESFJ,men,women
100926,Bear,Dudley,example100926@students.pitzer.edu,ISTP,men,women
100927,Shay,Acevedo,example100927@students.pitzer.edu,ENTP,women,men
100928,Aubrie,Bond,example100928@mymail.pomona.edu,ENTJ,women,men
100929,Calum,Nichols,example100929@hmc.edu,INTP,non-binary,women
100930,Truett,Montgomery,example100930@hmc.edu,ESFP,"men, women",women
100931,Jonas,Whitney,example100931@students.pitzer.edu,INTJ,men,women
100932,Renata,Levy,example100932@students.claremontmckenna.edu,,women,men
100933,Harry,Corona,example100933@students.claremontmckenna.edu,,men,"men, women, non-binary"
100934,Serenity,Rose,example100934@mymail.pomona.edu,INFP,women,men
100935,Scarlett,Olsen,example100935@hmc.edu,ISTP,men,women
100936,Jose,Hoover,example100936@students.pitzer.edu,,women,men
100937,Bonnie,Duarte,example100937@hmc.edu,INFP,"men, women, non-binary",women
100938,Emilio,Camacho,example100938@hmc.edu,ESTP,men,women
100939,Aydin,Bradshaw,example100939@students.pitzer.edu,ESFP,women,men
100940,Truett,Whitney,example100940@scrippscollege.edu,ESFP,men,"men, women, non-binary"
100941,Bethany,Greer,example100941@mymail.pomona.edu,ISFJ,"men, non-binary","men, women, non-binary"
100942,Jianna,Graves,example100942@students.claremontmckenna.edu,ENTJ,men,women
100943,Winter,Whitehead,example100943@students.claremontmckenna.edu,ENTJ,"women, non-binary","men, non-binary"
100944,Royalty,Salazar,example100944@students.claremontmckenna.edu,ENTP,women,men
100945,Sawyer,Wiggins,example100945@hmc.edu,INFJ,men,"men, women, non-binary"
100946,Jakobe,Yates,example100946@hmc.edu,INTP,women,men
100947,Saylor,Jordan,example100947@mymail.pomona.edu,,women,men
100948,Moises,King,example100948@hmc.edu,ENFP,men,women
100949,Gustavo,Burton,example100949@mymail.pomona.edu,ESFP,men,women
100950,Cassidy,McKenzie,example100950@scrippscollege.edu,ESFJ,women,men
100951,Willa,Villa,example100951@scrippscollege.edu,ESFP,men,women
100952,Anya,Schroeder,example100952@students.pitzer.edu,ENTJ,men,women
100953,Chandler,Duncan,example100953@scrippscollege.edu,ISTJ,women,"men, non-binary"
100954,Alina,Glover,example100954@students.claremontmckenna.edu,,men,non-binary
100955,Raiden,David,example100955@students.claremontmckenna.edu,ESTJ,"men, women","men, non-binary"
100956,Wesley,Haynes,example100956@scrippscollege.edu,ENTP,women,men
100957,Layton,Cochran,example100957@students.claremontmckenna.edu,ESTJ,men,women
100958,Margo,Stein,example100958@hmc.edu,ENTP,women,"men, women, non-binary"
100959,Skylar,Valentine,example100959@hmc.edu,ISFJ,men,women
100960,Kane,McDowell,example100960@scrippscollege.edu,,women,men
100961,Frankie,Conley,example100961@students.pitzer.edu,ESFJ,"men, women, non-binary","men, non-binary"
100962,Valerie,Avery,example100962@students.claremontmckenna.edu,ISFJ,women,men
100963,Gustavo,McKay,example100963@students.pitzer.edu,ENFP,men,"men, non-binary"
100964,Clyde,Donaldson,example100964@students.pitzer.edu,ENFP,non-binary,"men, non-binary"
100965,Joseph,Cuevas,example100965@scrippscollege.edu,,men,women
100966,Rayna,Potts,example100966@mymail.pomona.edu,,women,men
100967,Raylan,Byrd,example100967@hmc.edu,INTJ,women,men
100968,Gwendolyn,Sellers,example100968@scrippscollege.edu,INFJ,"men, non-binary","men, women, non-binary"
100969,Thatcher,Olsen,example100969@scrippscollege.edu,ENFJ,women,women
100970,Baylor,Baker,example100970@mymail.pomona.edu,INFJ,women,men
100971,Josie,Ahmed,example100971@hmc.edu,ESFJ,men,women
100972,Gideon,Palmer,example100972@scrippscollege.edu,INTP,men,"men, women"
100973,Lyla,Johnson,example100973@students.pitzer.edu,ISTP,men,women
100974,Karson,Cummings,example100974@mymail.pomona.edu,INTP,women,men
100975,Darian,Preston,example100975@scrippscollege.edu,ESTP,women,men
100976,Chandler,Harper,example100976@mymail.pomona.edu,INTJ,men,women
100977,Faye,Warner,example100977@hmc.edu,ENTJ,"men, women",men
100978,Kellan,Trejo,example100978@hmc.edu,ISTP,men,"women, non-binary"
100979,Jakobe,Mahoney,example100979@students.claremontmckenna.edu,ENFP,women,men
100980,Poppy,Cordova,example100980@students.claremontmckenna.edu,ESFP,men,"men, women, non-binary"
100981,Russell,Valentine,example100981@hmc.edu,ESFJ,men,women
100982,Emery,Griffith,example100982@mymail.pomona.edu,ISTJ,women,men
100983,Porter,Patton,example100983@students.claremontmckenna.edu,ENTJ,men,women
100984,Gideon,Wilson,example100984@hmc.edu,ESFJ,women,men
100985,Evangeline,Bradshaw,example100985@hmc.edu,ISTP,women,men
100986,Karsyn,Durham,example100986@students.claremontmckenna.edu,INTJ,women,men
100987,Whitley,Gordon,example100987@students.pitzer.edu,ISFJ,"women, non-binary",women
100988,Russell,Hicks,example100988@scrippscollege.edu,INTJ,men,women
100989,Kamila,Hood,example100989@students.pitzer.edu,INTJ,women,men
100990,Adriel,Delarosa,example100990@students.pitzer.edu,ISFP,men,"women, non-binary"
100991,Lucy,Harding,example100991@mymail.pomona.edu,ENFJ,men,women
100992,Jace,Martin,example100992@hmc.edu,ESFJ,"women, non-binary",women
100993,Palmer,Wiggins,example100993@students.pitzer.edu,ISTJ,men,women
100994,Tripp,Hicks,example100994@students.pitzer.edu,ESFJ,women,men
100995,Sage,Richmond,example100995@students.claremontmckenna.edu,ESTP,women,men
100996,Hadassah,Keith,example100996@students.pitzer.edu,ESTJ,women,men
100997,Martha,Richard,example100997@scrippscollege.edu,ISFJ,men,women
100998,Bodhi,Sutton,example100998@students.claremontmckenna.edu,ESTJ,men,"women, non-binary"
100999,Foster,Martinez,example100999@students.claremontmckenna.edu,ESTJ,women,men
101000,Marvin,Stephenson,example101000@scrippscollege.edu,ESTP,women,"women, non-binary"
101001,Dillon,Weeks,example101001@students.pitzer.edu,,women,men
101002,Axel,Quintero,example101002@mymail.pomona.edu,INTP,women,men
101003,Joe,McCarthy,example101003@students.pitzer.edu,ESTP,men,women
101004,Keith,Schmitt,example101004@students.pitzer.edu,ENTJ,women,men
101005,Arian,Sanchez,example101005@scrippscollege.edu,ENTJ,women,men
101006,Kaisley,McKenzie,example101006@hmc.edu,ESFJ,non-binary,non-binary
101007,Davis,Klein,example101007@students.pitzer.edu,INFP,men,women
101008,Melina,Beard,example101008@students.pitzer.edu,ISTJ,men,women
101009,Callahan,McKinney,example101009@mymail.pomona.edu,ESFJ,women,men
101010,Scarlett,Richard,example101010@hmc.edu,ESTJ,women,"men, women, non-binary"
101011,Rohan,Bradshaw,example101011@students.pitzer.edu,ENFP,men,women
101012,Ezra,Christian,example101012@students.claremontmckenna.edu,INFJ,non-binary,women
101013,Jair,Henson,example101013@students.pitzer.edu,ESFP,"women, non-binary","men, women"
101014,Everett,Norton,example101014@scrippscollege.edu,ESFJ,women,men
101015,Quentin,Kemp,example101015@students.pitzer.edu,ESTJ,"men, women",non-binary
101016,Margo,Holloway,example101016@students.claremontmckenna.edu,ISTP,women,men
101017,Phoebe,Marsh,example101017@students.pitzer.edu,ESFJ,women,men
101018,Joelle,Houston,example101018@students.pitzer.edu,ISTP,men,"men, women, non-binary"
101019,Tiana,Salgado,example101019@scrippscollege.edu,ESFP,women,men
101020,Gia,King,example101020@students.claremontmckenna.edu,ISTJ,men,women
101021,Nathanael,Townsend,example101021@students.pitzer.edu,,men,women
101022,Nora,McCullough,example101022@students.pitzer.edu,INFP,women,men
101023,Carter,Robinson,example101023@scrippscollege.edu,ENTP,non-binary,"women, non-binary"
101024,Melina,Avery,example101024@mymail.pomona.edu,ISFP,women,men
101025,Zelda,Sanford,example101025@mymail.pomona.edu,ESFJ,women,men
101026,Ailani,Tang,example101026@mymail.pomona.edu,INFP,"women, non-binary","women, non-binary"
101027,Darian,Jacobs,example101027@students.pitzer.edu,ISTP,men,women
101028,Nyla,Vu,example101028@students.claremontmckenna.edu,INTJ,women,men
101029,Robin,Howe,example101029@students.claremontmckenna.edu,ESTJ,men,women
101030,Chandler,Farmer,example101030@hmc.edu,INTJ,"men, non-binary","men, non-binary"
101031,Harmony,Richard,example101031@students.pitzer.edu,ENFJ,men,women
101032,Danna,Nunez,example101032@scrippscollege.edu,ESFJ,men,women
101033,Harlem,McCormick,example101033@students.pitzer.edu,INFJ,men,women
101034,Aylin,Yoder,example101034@hmc.edu,ESTJ,women,men
101035,Beau,McCall,example101035@mymail.pomona.edu,ESFP,men,women
101036,Johan,Martinez,example101036@mymail.pomona.edu,ENTJ,men,"men, women"
101037,Andres,Benitez,example101037@scrippscollege.edu,ISFP,"men, women",women
101038,Hayden,Delarosa,example101038@students.claremontmckenna.edu,ESTJ,women,men
101039,Wren,Tanner,example101039@students.pitzer.edu,ISTJ,"men, women, non-binary","men, women"
101040,Kiaan,Sanchez,example101040@scrippscollege.edu,ENTP,men,women
101041,Silas,Dickson,example101041@hmc.edu,INTP,men,women
101042,Isabelle,West,example101042@students.claremontmckenna.edu,INTP,women,non-binary
101043,Loretta,Boone,example101043@mymail.pomona.edu,,women,men
101044,Harvey,Escobar,example101044@students.pitzer.edu,ISTP,"men, women, non-binary","women, non-binary"
101045,Alexis,Clarke,example101045@students.pitzer.edu,ENFJ,women,"men, women"
101046,Yehuda,Galindo,example101046@students.pitzer.edu,ENFJ,women,men
101047,Jaycee,Frost,example101047@scrippscollege.edu,ESTP,non-binary,"men, women, non-binary"
101048,Korbyn,Jefferson,example101048@scrippscollege.edu,ENTJ,"women, non-binary",men
101049,Walker,Corona,example101049@mymail.pomona.edu,ISTP,men,women
101050,Aliza,Tucker,example101050@hmc.edu,ENFJ,women,men
101051,Israel,Elliott,example101051@students.pitzer.edu,ESTJ,women,men
101052,Kaisley,Huang,example101052@students.pitzer.edu,ISTP,women,men
101053,Ensley,McClure,example101053@students.claremontmckenna.edu,ISTP,women,men
101054,Colter,Finley,example101054@mymail.pomona.edu,INTJ,men,"women, non-binary"
101055,Everlee,Melton,example101055@students.pitzer.edu,,men,women
101056,Amias,Norton,example101056@mymail.pomona.edu,,women,men
101057,Camden,Humphrey,example101057@scrippscollege.edu,INTP,"men, women",women
101058,Lawson,Barron,example101058@students.pitzer.edu,ESFP,men,women
101059,Harold,Whitney,example101059@students.pitzer.edu,ISFJ,men,"men, women"
101060,Jayla,Stephenson,example101060@scrippscollege.edu,ENTP,men,women
101061,Marianna,Griffith,example101061@hmc.edu,ISFP,women,"women, non-binary"
101062,Danny,Hudson,example101062@students.claremontmckenna.edu,ESFJ,women,"men, women"
101063,Thatcher,Duffy,example101063@students.pitzer.edu,INFJ,men,women
101064,Mazikee,Browning,example101064@mymail.pomona.edu,INTJ,women,"men, women, non-binary"
101065,Calliope,Cunningham,example101065@students.pitzer.edu,ISFJ,men,non-binary
101066,Leilani,Horne,example101066@scrippscollege.edu,INTJ,"men, women, non-binary",women
101067,Rosalie,Reyna,example101067@students.claremontmckenna.edu,ENTJ,men,men
101068,Jamal,Lyons,example101068@scrippscollege.edu,INTJ,men,women
101069,Landyn,McClure,example101069@students.claremontmckenna.edu,ISTJ,men,women
101070,Max,Ayala,example101070@students.claremontmckenna.edu,ESTJ,men,women
101071,Danna,Mayer,example101071@hmc.edu,ISTP,women,"women, non-binary"
101072,Alonzo,Donaldson,example101072@hmc.edu,ENTJ,men,"men, non-binary"
101073,Azariah,Kemp,example101073@hmc.edu,ENTP,men,women
101074,Estella,Guevara,example101074@scrippscollege.edu,ESFJ,women,men
101075,Thatcher,Miranda,example101075@mymail.pomona.edu,INFJ,men,women
101076,Camden,Potts,example101076@hmc.edu,ENTP,men,women
101077,Jada,May,example101077@students.pitzer.edu,ESFJ,women,men
101078,Soren,Norton,example101078@students.pitzer.edu,ENFP,women,men
101079,Elisha,Grimes,example101079@students.pitzer.edu,INFJ,women,men
101080,Kalel,Benton,example101080@scrippscollege.edu,ENTP,non-binary,"women, non-binary"
101081,Raven,McClure,example101081@scrippscollege.edu,ENTP,"women, non-binary","men, women"
101082,Briar,Haynes,example101082@mymail.pomona.edu,ENTJ,women,men
101083,Kellan,Luna,example101083@hmc.edu,INFJ,men,"men, non-binary"
101084,Walter,Boone,example101084@mymail.pomona.edu,INFJ,men,women
101085,Foster,McCall,example101085@mymail.pomona.edu,ISTJ,men,"men, women"
101086,Jaylah,Day,example101086@hmc.edu,ESTJ,men,women
101087,Oaklee,Sweeney,example101087@hmc.edu,ISTP,"men, women","men, women, non-binary"
